year,type,property_taxes,sales_taxes,franchise_fees,service_charges,fines_and_forfeitures,other_revenues,total
2015,actual,78713367,55543300,37301530,13312624,14176945,15655594,214703360
2016,estimate,83548790,58049717,38013808,13357720,11984636,16557817,221512488
2017,adopted,91705262,60371706,40058267,15287018,11798609,16664602,235885463
2016,actual,83206654,58299391,37534777,13903509,12249184,16911327,222104842
2017,estimate,91443560,60296540,37176880,14463280,10984805,17275854,231640918
2018,adopted,98648508,62806919,38228715,15359328,10476449,18090411,243610330
2017,actual,90888160,59924982,36872434,14762385,11148528,17291501,230887990
2018,estimate,98437542,62564461,38536538,14369124,10028501,17591391,241527557
2019,adopted,107777324,64503959,37893359,16222464,9928501,18625067,254950675
2018,actual,98098871,62875224,38512617,14514113,10597591,18060839,242659255
2019,estimate,106095828,66319928,37542889,14765247,11215103,19260034,255199029
2020,adopted,118832717,68375846,35805914,17139027,11150569,18208735,269512808
2019,actual,106405330,66969349,38087981,14631453,11152679,20106139,257352931
2020,estimate,116407086,63173640,36768006,15139206,9202021,17041309,257731268
2021,adopted,107110384,61594299,36751686,16631856,10164450,15359180,247611855
2020,actual,115890452,64195349,36302397,15421227,9449961,18437684,259697070
2021,estimate,107217494,71513163,36769720,15408745,7868145,15212607,253989874
2022,adopted,114376400,73372505,36808078,16988671,8370255,15572969,265488878
2021,actual,109405180,73778424,37070166,15409315,7787969,14721086,258172140
2022,estimate,115235768,83612502,37527561,15792946,7049359,15616379,274834515
2023,adopted,125399016,86368836,37114177,17634909,7218390,16532005,290267333
2022,actual,114860402,83977216,39091159,16449674,6876870,17341776,278597096
2023,estimate,125436636,89098295,38348276,16762384,5520460,16291967,291458018
2024,adopted,144776982,93107718,39084396,19510258,5589315,20103563,322172233