fiscal_year,property_taxes, sales_taxes, franchise_fees, service_charges, fines_and_forfeitures, other_revenues, total,budget_type
2015,78713367,55543300,37301530,13312624,14176945,15655594,214703360,actual
2016,83206654,58299391,37534777,13903509,12249184,16911327,222104842,actual
2017,90888160,59924982,36872434,14762385,11148528,17291501,230887990,actual
2018,98098871,62875224,38512617,14514113,10597591,18060839,242659255,actual
2019,106405330,66969349,38087981,14631453,11152679,20106139,257352931,actual
2020,115890452,64195349,36302397,15421227,9449961,18437684,259697070,actual
2021,109405180,73778424,37070166,15409315,7787969,14721086,258172140,actual
2022,114860402,83977216,39091159,16449674,6876870,17341776,278597096,actual
2023,125436636,89098295,38348276,16762384,5520460,16291967,291458018,estimates
2024,144776982,93107718,39084396,19510258,5589315,20103563,322172233,adopted